Region,Year,Value,Crop
SULAWESI TENGAH,2012,26932,Ubi Jalar
SULAWESI SELATAN,2012,94474,Ubi Jalar
SULAWESI TENGGARA,2012,29411,Ubi Jalar
GORONTALO,2012,2002,Ubi Jalar
SULAWESI BARAT,2012,16589,Ubi Jalar
MALUKU,2012,19411,Ubi Jalar
MALUKU UTARA,2012,34661,Ubi Jalar
PAPUA BARAT,2012,10647,Ubi Jalar
PAPUA BARAT DAYA,2012,0,Ubi Jalar
PAPUA,2012,345095,Ubi Jalar
PAPUA SELATAN,2012,0,Ubi Jalar
PAPUA TENGAH,2012,0,Ubi Jalar
PAPUA PEGUNUNGAN,2012,0,Ubi Jalar
TOTAL,2012,2483460,Ubi Jalar
ACEH,2013,11602,Ubi Jalar
SUMATERA UTARA,2013,116671,Ubi Jalar
SUMATERA BARAT,2013,134453,Ubi Jalar
RIAU,2013,8462,Ubi Jalar
JAMBI,2013,68187,Ubi Jalar
SUMATERA SELATAN,2013,15945,Ubi Jalar
BENGKULU,2013,31672,Ubi Jalar
LAMPUNG,2013,45141,Ubi Jalar
KEP. BANGKA BELITUNG,2013,2863,Ubi Jalar
KEP. RIAU,2013,1891,Ubi Jalar
DKI JAKARTA,2013,0,Ubi Jalar
JAWA BARAT,2013,485065,Ubi Jalar
JAWA TENGAH,2013,183694,Ubi Jalar
DI YOGYAKARTA,2013,4951,Ubi Jalar
JAWA TIMUR,2013,393199,Ubi Jalar
BANTEN,2013,27972,Ubi Jalar
BALI,2013,60755,Ubi Jalar
NUSA TENGGARA BARAT,2013,11335,Ubi Jalar
NUSA TENGGARA TIMUR,2013,78944,Ubi Jalar
KALIMANTAN BARAT,2013,15296,Ubi Jalar
KALIMANTAN TENGAH,2013,9201,Ubi Jalar
KALIMANTAN SELATAN,2013,16534,Ubi Jalar
KALIMANTAN TIMUR,2013,12993,Ubi Jalar
KALIMANTAN UTARA,2013,3133,Ubi Jalar
SULAWESI UTARA,2013,39800,Ubi Jalar
SULAWESI TENGAH,2013,21550,Ubi Jalar
SULAWESI SELATAN,2013,70767,Ubi Jalar
SULAWESI TENGGARA,2013,24113,Ubi Jalar
GORONTALO,2013,2007,Ubi Jalar
SULAWESI BARAT,2013,11486,Ubi Jalar
MALUKU,2013,19602,Ubi Jalar
MALUKU UTARA,2013,37024,Ubi Jalar
PAPUA BARAT,2013,14901,Ubi Jalar
PAPUA BARAT DAYA,2013,0,Ubi Jalar
PAPUA,2013,405520,Ubi Jalar
PAPUA SELATAN,2013,0,Ubi Jalar
PAPUA TENGAH,2013,0,Ubi Jalar
PAPUA PEGUNUNGAN,2013,0,Ubi Jalar
TOTAL,2013,2386729,Ubi Jalar
ACEH,2014,9696,Ubi Jalar
SUMATERA UTARA,2014,146622,Ubi Jalar
SUMATERA BARAT,2014,159865,Ubi Jalar
RIAU,2014,8038,Ubi Jalar
JAMBI,2014,78677,Ubi Jalar
SUMATERA SELATAN,2014,24454,Ubi Jalar
BENGKULU,2014,52251,Ubi Jalar
LAMPUNG,2014,42000,Ubi Jalar
KEP. BANGKA BELITUNG,2014,2992,Ubi Jalar
KEP. RIAU,2014,1804,Ubi Jalar
DKI JAKARTA,2014,0,Ubi Jalar
JAWA BARAT,2014,471737,Ubi Jalar
JAWA TENGAH,2014,179393,Ubi Jalar
DI YOGYAKARTA,2014,5237,Ubi Jalar
JAWA TIMUR,2014,312421,Ubi Jalar
BANTEN,2014,28336,Ubi Jalar
BALI,2014,54395,Ubi Jalar
NUSA TENGGARA BARAT,2014,19015,Ubi Jalar
NUSA TENGGARA TIMUR,2014,60032,Ubi Jalar
KALIMANTAN BARAT,2014,15393,Ubi Jalar
KALIMANTAN TENGAH,2014,9048,Ubi Jalar
KALIMANTAN SELATAN,2014,23421,Ubi Jalar
KALIMANTAN TIMUR,2014,13004,Ubi Jalar
KALIMANTAN UTARA,2014,3056,Ubi Jalar
SULAWESI UTARA,2014,39429,Ubi Jalar
SULAWESI TENGAH,2014,20452,Ubi Jalar
SULAWESI SELATAN,2014,78275,Ubi Jalar
SULAWESI TENGGARA,2014,24914,Ubi Jalar
GORONTALO,2014,1904,Ubi Jalar
SULAWESI BARAT,2014,5880,Ubi Jalar
MALUKU,2014,22547,Ubi Jalar
MALUKU UTARA,2014,44651,Ubi Jalar
PAPUA BARAT,2014,11826,Ubi Jalar
PAPUA BARAT DAYA,2014,0,Ubi Jalar
PAPUA,2014,411893,Ubi Jalar
PAPUA SELATAN,2014,0,Ubi Jalar
PAPUA TENGAH,2014,0,Ubi Jalar
PAPUA PEGUNUNGAN,2014,0,Ubi Jalar
TOTAL,2014,2382658,Ubi Jalar
ACEH,2015,8935,Ubi Jalar
SUMATERA UTARA,2015,122362,Ubi Jalar
SUMATERA BARAT,2015,160922,Ubi Jalar
RIAU,2015,6562,Ubi Jalar
JAMBI,2015,79393,Ubi Jalar
SUMATERA SELATAN,2015,16563,Ubi Jalar
BENGKULU,2015,38841,Ubi Jalar
LAMPUNG,2015,28494,Ubi Jalar
KEP. BANGKA BELITUNG,2015,2620,Ubi Jalar
KEP. RIAU,2015,1795,Ubi Jalar
DKI JAKARTA,2015,0,Ubi Jalar
JAWA BARAT,2015,456176,Ubi Jalar
JAWA TENGAH,2015,151312,Ubi Jalar
DI YOGYAKARTA,2015,6070,Ubi Jalar
JAWA TIMUR,2015,350516,Ubi Jalar
BANTEN,2015,20150,Ubi Jalar
BALI,2015,36655,Ubi Jalar
NUSA TENGGARA BARAT,2015,19024,Ubi Jalar
NUSA TENGGARA TIMUR,2015,60746,Ubi Jalar
KALIMANTAN BARAT,2015,14863,Ubi Jalar
KALIMANTAN TENGAH,2015,9640,Ubi Jalar
KALIMANTAN SELATAN,2015,17913,Ubi Jalar
KALIMANTAN TIMUR,2015,10933,Ubi Jalar
KALIMANTAN UTARA,2015,2851,Ubi Jalar
SULAWESI UTARA,2015,25705,Ubi Jalar
SULAWESI TENGAH,2015,16650,Ubi Jalar
SULAWESI SELATAN,2015,71681,Ubi Jalar
SULAWESI TENGGARA,2015,25740,Ubi Jalar
GORONTALO,2015,1434,Ubi Jalar
SULAWESI BARAT,2015,8749,Ubi Jalar
MALUKU,2015,33639,Ubi Jalar
MALUKU UTARA,2015,30674,Ubi Jalar
PAPUA BARAT,2015,13101,Ubi Jalar
PAPUA BARAT DAYA,2015,0,Ubi Jalar
PAPUA,2015,446925,Ubi Jalar
PAPUA SELATAN,2015,0,Ubi Jalar
PAPUA TENGAH,2015,0,Ubi Jalar
PAPUA PEGUNUNGAN,2015,0,Ubi Jalar
TOTAL,2015,2297634,Ubi Jalar
